weatherstation_id,fmis_id,weatherstation_name
07d7246d-b747-ec11-8c62-6045bd8ee4f4,101342,Sysmä Joutsjärvi
28d7d26e-b747-ec11-8c62-6045bd8ba7a7,106418,Savonlinna Haapasalmi
0dd7246d-b747-ec11-8c62-6045bd8ee4f4,101608,Liperi Joensuu lentoasema
c7211d73-b747-ec11-8c62-6045bd8ee4f4,107081,Kuusamo Välikangas
c6211d73-b747-ec11-8c62-6045bd8ee4f4,107029,Pyhtää lentokenttä
d2211d73-b747-ec11-8c62-6045bd8ee4f4,107275,Vihti Ylimmäinen
70d6d26e-b747-ec11-8c62-6045bd8ba7a7,101151,Hattula Lepaa
8d211d73-b747-ec11-8c62-6045bd8ee4f4,101873,Ranua lentokenttä
9f211d73-b747-ec11-8c62-6045bd8ee4f4,134246,Selkämeri aaltopoiju
f2d6246d-b747-ec11-8c62-6045bd8ee4f4,134254,Hamina Pitäjänsaari
54d7246d-b747-ec11-8c62-6045bd8ee4f4,101185,Asikkala Pulkkilanharju
b1d6d26e-b747-ec11-8c62-6045bd8ba7a7,101578,Suonenjoki Iisvesi
50d7246d-b747-ec11-8c62-6045bd8ee4f4,101705,Pyhäjärvi Ojakylä
80211d73-b747-ec11-8c62-6045bd8ee4f4,100823,Kaarina Kaarina
77d6d26e-b747-ec11-8c62-6045bd8ba7a7,101009,Helsinki Malmi lentokenttä
9e211d73-b747-ec11-8c62-6045bd8ee4f4,129963,Inari Seitalaassa
73d6d26e-b747-ec11-8c62-6045bd8ba7a7,101030,Kotka Rankki
6ed7246d-b747-ec11-8c62-6045bd8ee4f4,101928,Rovaniemi rautatieasema
96211d73-b747-ec11-8c62-6045bd8ee4f4,103097,Tampere Kaleva
ead6d26e-b747-ec11-8c62-6045bd8ba7a7,103153,Luoto Vikarholmen
8ed6d26e-b747-ec11-8c62-6045bd8ba7a7,101786,Oulu lentoasema
31d7246d-b747-ec11-8c62-6045bd8ee4f4,101039,Loviisa Orrengrund
27d7246d-b747-ec11-8c62-6045bd8ee4f4,101211,Kouvola Voikoski
55d7246d-b747-ec11-8c62-6045bd8ee4f4,101246,Lappeenranta Konnunsuo
78d7246d-b747-ec11-8c62-6045bd8ee4f4,101986,Kittilä lentoasema
cbd6d26e-b747-ec11-8c62-6045bd8ba7a7,103126,Oulu Pyykösjärvi
70d7246d-b747-ec11-8c62-6045bd8ee4f4,103125,Oulu keskusta 2
a5d6d26e-b747-ec11-8c62-6045bd8ba7a7,101913,Kolari Kattilamaa
c2d6d26e-b747-ec11-8c62-6045bd8ba7a7,102042,Inari Väylä
0ed7246d-b747-ec11-8c62-6045bd8ee4f4,101410,Mikkeli Pitkähiekka
76d6d26e-b747-ec11-8c62-6045bd8ba7a7,100955,Salo Kärkkä
16d7d26e-b747-ec11-8c62-6045bd8ba7a7,654900,Hanko Längden
80d6d26e-b747-ec11-8c62-6045bd8ba7a7,101044,Pori lentoasema
05d7246d-b747-ec11-8c62-6045bd8ee4f4,101840,Kemi Kemi-Tornio lentoasema
cad6d26e-b747-ec11-8c62-6045bd8ba7a7,103114,Lappeenranta Ihalainen
2aabd474-b747-ec11-8c62-6045bd8ba7a7,106796,Jyväskylä Hannikaisenkatu
71d6d26e-b747-ec11-8c62-6045bd8ba7a7,101130,Hyvinkää Hyvinkäänkylä
d4d6d26e-b747-ec11-8c62-6045bd8ba7a7,104109,Hailuoto Kujalannurkka
be211d73-b747-ec11-8c62-6045bd8ee4f4,105416,Heinola Tiilitehtaankatu
48d7246d-b747-ec11-8c62-6045bd8ee4f4,100997,Kirkkonummi Mäkiluoto
88d6d26e-b747-ec11-8c62-6045bd8ba7a7,100907,Jomala Maarianhamina lentoasema
e5d6246d-b747-ec11-8c62-6045bd8ee4f4,101809,Utajärvi Särkijärvi
1ad7246d-b747-ec11-8c62-6045bd8ee4f4,855522,Mikkeli Lentoasema AWOS
65d6d26e-b747-ec11-8c62-6045bd8ba7a7,101717,Siikalatva Kestilä
2ed7246d-b747-ec11-8c62-6045bd8ee4f4,101822,Suomussalmi Näljänkä
5ed7246d-b747-ec11-8c62-6045bd8ee4f4,101234,Kouvola Kaipiainen
16d7246d-b747-ec11-8c62-6045bd8ee4f4,101528,Halsua Purola
24d7d26e-b747-ec11-8c62-6045bd8ba7a7,103943,Helsinki Vuosaari Käärmeniementie
c2211d73-b747-ec11-8c62-6045bd8ee4f4,106949,Espoo Länsiväylä Friisilä
6cd6d26e-b747-ec11-8c62-6045bd8ba7a7,101665,Kaustinen Tastula
dfd6d26e-b747-ec11-8c62-6045bd8ba7a7,101649,Ilomantsi Pötsönvaara
2ad7d26e-b747-ec11-8c62-6045bd8ba7a7,105392,Sipoo Itätoukki
4ed7246d-b747-ec11-8c62-6045bd8ee4f4,101362,Luhanka Judinsalo
0fd7246d-b747-ec11-8c62-6045bd8ee4f4,101460,Joensuu Huhtilampi
98d6d26e-b747-ec11-8c62-6045bd8ba7a7,101959,Salla kirkonkylä
1dd7246d-b747-ec11-8c62-6045bd8ee4f4,102008,Inari Raja-Jooseppi Kontiojärvi
20d7246d-b747-ec11-8c62-6045bd8ee4f4,101590,Outokumpu Viuruniemi
eed6d26e-b747-ec11-8c62-6045bd8ba7a7,101987,Kittilä Kenttärova
e0d6d26e-b747-ec11-8c62-6045bd8ba7a7,101775,Raahe Nahkiainen
f9d6d26e-b747-ec11-8c62-6045bd8ba7a7,101586,Kuopio Savilahti
02d7246d-b747-ec11-8c62-6045bd8ee4f4,101800,Vaala Pelso
25d7246d-b747-ec11-8c62-6045bd8ee4f4,101338,Jämsä Halli Lentoasemantie
92d6d26e-b747-ec11-8c62-6045bd8ba7a7,102033,Inari Ivalo lentoasema
33d7246d-b747-ec11-8c62-6045bd8ee4f4,101430,Savonlinna lentoasema
8ad6d26e-b747-ec11-8c62-6045bd8ba7a7,101776,Hailuoto Keskikylä
ce211d73-b747-ec11-8c62-6045bd8ee4f4,107147,Lohja Harjula
01d7d26e-b747-ec11-8c62-6045bd8ba7a7,102047,Inari Kaamanen
60d6d26e-b747-ec11-8c62-6045bd8ba7a7,101441,Savonlinna Punkaharju Laukansaari
ded6d26e-b747-ec11-8c62-6045bd8ba7a7,101628,Liperi Tuiskavanluoto
6ad7246d-b747-ec11-8c62-6045bd8ee4f4,101436,Rantasalmi Rukkasluoto
41d7246d-b747-ec11-8c62-6045bd8ee4f4,101289,Kauhajoki Kuja-Kokko
afd6d26e-b747-ec11-8c62-6045bd8ba7a7,101231,Virolahti Koivuniemi
fdd6246d-b747-ec11-8c62-6045bd8ee4f4,101291,Kankaanpää Niinisalo lentokenttä
b8d6d26e-b747-ec11-8c62-6045bd8ba7a7,778578,Rauma Sinisaari
97211d73-b747-ec11-8c62-6045bd8ee4f4,104053,Helsinki Katajanokka 2
f6d6d26e-b747-ec11-8c62-6045bd8ba7a7,103149,Mikkeli Porrassalmenkatu
79d7246d-b747-ec11-8c62-6045bd8ee4f4,137190,Rovaniemi lentoasema AWOS
ecd6d26e-b747-ec11-8c62-6045bd8ba7a7,100967,Salo Kiikala lentokenttä
e4d6d26e-b747-ec11-8c62-6045bd8ba7a7,101976,Enontekiö lentoasema
cb211d73-b747-ec11-8c62-6045bd8ee4f4,107164,Kotka Mussalo satama/siirrettävä
